"Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species","COG_Name","COG_Category"
"Bacteria","Unknown","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio salexigens","1,6-Anhydro-N-acetylmuramate kinase","Cell wall/membrane/envelope biogenesis"
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Halorhodospira","Halorhodospira halophila","",""
"Bacteria","Unknown","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Unknown","Ribosomal protein S13","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas syringae","Ribosomal protein S15P/S13E","Translation, ribosomal structure and biogenesis"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Ribosomal protein L7/L12","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Cronobacter","Cronobacter sakazakii","DNA repair exonuclease SbcCD ATPase subunit","Replication, recombination and repair"
"Bacteria","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Leucyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Neorickettsia","Neorickettsia sennetsu","Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase","Carbohydrate transport and metabolism"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Unknown","Ribosomal protein S7","Translation, ribosomal structure and biogenesis"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","FoF1-type ATP synthase, membrane subunit b or b'","Energy production and conversion"
"Bacteria","Unknown","Cyanobacteria","Unknown","Chroococcales","Unknown","Acaryochloris","Acaryochloris marina","",""
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Unknown","Unknown","Ribosome-associated translation inhibitor RaiA","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter","Enterobacter cloacae","Uncharacterized conserved protein, DUF111 family","Function unknown"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unknown","",""
"Bacteria","Unknown","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Micrococcus","Micrococcus luteus","DNA-directed RNA polymerase, beta subunit/140 kD subunit","Transcription"
"Bacteria","Unknown","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus","Ribosomal protein S13","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus reuteri","Ribosomal protein L27","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","Ribosomal protein S16","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium meliloti","Bacterial nucleoid DNA-binding protein","Replication, recombination and repair"
"Archaea","Unknown","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","Pyrococcus abyssi","Ribonuclease HII","Replication, recombination and repair"
"Eukaryota","Fungi","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","ABC-type antimicrobial peptide transport system, permease component","Defense mechanisms"
"Bacteria","Unknown","Firmicutes","Unknown","Unknown","Unknown","Unknown","Unknown","Ribosomal protein S13","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium phytofermentans","Ribosomal protein S21","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Thermosipho","Thermosipho melanesiensis","Translation elongation factor EF-Tu, a GTPase","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Yersinia","Unknown","",""
"Bacteria","Unknown","Cyanobacteria","Unknown","Prochlorales","Prochlorococcaceae","Prochlorococcus","Prochlorococcus marinus","Anthranilate phosphoribosyltransferase","Amino acid transport and metabolism"
"Bacteria","Unknown","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter","Rhodobacter sphaeroides","Ribosomal protein S14","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","ATP-dependent Lon protease, bacterial type","Posttranslational modification, protein turnover, chaperones"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","",""
"Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae","",""
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","",""
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus lactis subsp. lactis Il1403","tRNA A37 N6-isopentenylltransferase MiaA","Translation, ribosomal structure and biogenesis"
"Eukaryota","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Aureobasidium","Aureobasidium pullulans","Ribosomal protein L2","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter sp. ADP1","Translation elongation factor EF-Tu, a GTPase","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus fermentum","Preprotein translocase subunit SecB","Intracellular trafficking, secretion, and vesicular transport"
"Bacteria","Unknown","Actinobacteria","Actinobacteria","Actinomycetales","Acidothermaceae","Acidothermus","Acidothermus cellulolyticus","",""
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis","Cobyric acid synthase","Coenzyme transport and metabolism"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus delbrueckii","",""
"Bacteria","Unknown","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Neorickettsia","Neorickettsia sennetsu","",""
"Bacteria","Unknown","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas wittichii","FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)","Posttranslational modification, protein turnover, chaperones"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus reuteri","Ribosomal protein S5","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Ribosomal protein S8","Translation, ribosomal structure and biogenesis"
"Eukaryota","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Aspergillus","Aspergillus oryzae","",""
"Bacteria","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Co-chaperonin GroES (HSP10)","Posttranslational modification, protein turnover, chaperones"
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Escherichia coli","Isoleucyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus fermentum","",""
"Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Unknown","Candida","Candida albicans","Ribosomal protein L9","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Unknown","DNA-directed RNA polymerase, beta' subunit/160 kD subunit","Transcription"
"Bacteria","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","FoF1-type ATP synthase, beta subunit","Energy production and conversion"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus fermentum","Ribosomal protein S21","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus acidophilus","FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)","Posttranslational modification, protein turnover, chaperones"
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella baltica","Intein/homing endonuclease","Replication, recombination and repair;Mobilome: prophages, transposons"
"Archaea","Unknown","Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae","Methanococcus","Methanococcus maripaludis","UDP-2,3-diacylglucosamine pyrophosphatase LpxH","Cell wall/membrane/envelope biogenesis"
"Bacteria","Unknown","Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Acholeplasma","Acholeplasma laidlawii","Alanine racemase","Cell wall/membrane/envelope biogenesis"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","IMP dehydrogenase/GMP reductase","Nucleotide transport and metabolism"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus fermentum","Ribosomal protein L2","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Actinobacteria","Actinobacteria","Unknown","Unknown","Unknown","Unknown","",""
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","",""
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unknown","",""
"Viruses","Unknown","Unknown","Unknown","Caudovirales","Myoviridae","Unknown","Enterococcus phage phiEF24C","Translation elongation factor EF-Tu, a GTPase","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Unknown","Unknown","DNA mismatch repair ATPase MutL","Replication, recombination and repair"
"Bacteria","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","",""
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Preprotein translocase subunit SecB","Intracellular trafficking, secretion, and vesicular transport"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","",""
"Bacteria","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Acetate kinase","Energy production and conversion"
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella frigidimarina","ABC-type sugar transport system, ATPase component","Carbohydrate transport and metabolism"
"Bacteria","Unknown","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria monocytogenes","Translation elongation factor EF-Tu, a GTPase","Translation, ribosomal structure and biogenesis"
"Archaea","Unknown","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina barkeri","",""
"Bacteria","Unknown","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Unknown","Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins","Cell wall/membrane/envelope biogenesis"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus acidophilus","Ribosomal protein S21","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Firmicutes","Bacilli","Unknown","Unknown","Unknown","Unknown","",""
"Bacteria","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Ribosomal protein S3","Translation, ribosomal structure and biogenesis"
"Eukaryota","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","",""
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Escherichia coli","23S rRNA G2445 N2-methylase RlmL","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Gluconacetobacter","Gluconacetobacter diazotrophicus","Translation initiation factor IF-1","Translation, ribosomal structure and biogenesis"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","",""
"Bacteria","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","",""
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus casei","Ribosomal protein L7/L12","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae","Mycobacterium","Mycobacterium leprae","Beta-galactosidase/beta-glucuronidase","Carbohydrate transport and metabolism"
"Bacteria","Unknown","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae","Mycobacterium","Mycobacterium avium subsp. paratuberculosis K-10","DNA polymerase III sliding clamp (beta) subunit, PCNA homolog","Replication, recombination and repair"
"Bacteria","Unknown","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Thermodesulfovibrio","Thermodesulfovibrio yellowstonii","Gamma-glutamyl phosphate reductase","Amino acid transport and metabolism"
"Bacteria","Unknown","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria","Ruegeria pomeroyi","Translation elongation factor EF-Tu, a GTPase","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Streptomyces arenae","Ribosomal protein L9","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Ribosomal protein S13","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus helveticus","",""
"Bacteria","Unknown","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Streptomyces aureofaciens","",""
"Bacteria","Unknown","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus pumilus","",""
"Bacteria","Unknown","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae","Mycobacterium","Mycobacterium smegmatis","Ribosomal protein S12","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus brevis","Translation elongation factor EF-Tu, a GTPase","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Cyanobacteria","Unknown","Chroococcales","Unknown","Synechocystis","Synechocystis sp. PCC 6803","Beta-galactosidase/beta-glucuronidase","Carbohydrate transport and metabolism"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Unknown","Preprotein translocase subunit SecB","Intracellular trafficking, secretion, and vesicular transport"
"Bacteria","Unknown","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Brucella","Brucella abortus","Chaperonin GroEL (HSP60 family)","Posttranslational modification, protein turnover, chaperones"
"Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Eremothecium","Eremothecium gossypii","",""
"Bacteria","Unknown","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio vulgaris","Ribosomal protein L6P/L9E","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Actinobacteria","Actinobacteria","Actinomycetales","Frankiaceae","Frankia","Frankia alni","Outer membrane murein-binding lipoprotein Lpp","Cell wall/membrane/envelope biogenesis"
"Bacteria","Unknown","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Jannaschia","Jannaschia sp. CCS1","3-hydroxyacyl-CoA dehydrogenase","Lipid transport and metabolism"
"Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae","Ribosomal protein S11","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herminiimonas","Herminiimonas arsenicoxydans","",""
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Saccharophagus","Saccharophagus degradans","",""
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","Actinobacillus pleuropneumoniae","Translation elongation factor EF-Tu, a GTPase","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","",""
"Bacteria","Unknown","Cyanobacteria","Unknown","Prochlorales","Prochlorococcaceae","Prochlorococcus","Prochlorococcus marinus subsp. marinus str. CCMP1375","Ribosomal protein S18","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus acidophilus","Ribosomal protein S21","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium botulinum","Thiamine biosynthesis protein ThiC","Coenzyme transport and metabolism"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus acidophilus","Ribosomal protein S16","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus","Ribosomal protein S7","Translation, ribosomal structure and biogenesis"
